docid,c0parent_class,c1child_class,c2parent_title,c3child_title
-1208230295,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Internet settings,Personal data
-1208007172,com.samsung.android.honeyboard.settings.swipetouchandfeedback.backspacespeed.BackspaceDeleteSpeedSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.backspacespeed.BackspaceDeleteSpeedSettings,Backspace speed,Slow
-1202916269,com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Contact us
-1192919769,com.samsung.android.app.settings.SettingsActivity,com.samsung.android.app.settings.PreferenceSettingsActivity,Screenshots and screen recorder,Screenshot toolbar
-1192272097,com.samsung.android.honeyboard.settings.swipetouchandfeedback.swipe.KeyboardSwipeSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.swipe.KeyboardSwipeSettings,Keyboard swipe controls,Cursor control
-1192239663,com.android.settings.notification.zen.ZenModeSettings,com.android.settings.notification.zen.ZenModePeopleSettings,Do not disturb,"Calls, messages, and conversations"
-1189678279,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Advanced features,Motions and gestures
-1189485915,com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Check WLAN security
-1186478303,com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,"Swipe, touch, and feedback",Keep symbol panel open
-1184709039,com.samsung.android.settings.display.SecDarkModeSettingsFragment,com.samsung.android.settings.display.SecDarkModeSettingsFragment,Dark mode settings,Custom schedule
-1177225726,com.android.settings.DisplaySettings,com.samsung.android.settings.display.FullScreenAppsFragment,Display,Full screen apps
-1176389865,com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.biometrics.face.FaceEntry,Biometrics and security,Face recognition
-1167700654,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Debug GPU overdraw
-1164018244,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SecVibrationIntensitySettings,Sounds and vibration,Vibration intensity
-1161757971,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchandhold.delay.TouchAndHoldDelaySettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchandhold.delay.TouchAndHoldDelaySettings,Keyboard touch and hold delay,Custom
-1161053336,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,Customize menus
-1159016622,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,Fingerprints,Fingerprint unlock
-1156604927,com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,Auto turn on/off,Auto turn on
-1151489857,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Useful features,Get news notifications
-1149967818,com.android.settings.accounts.AccountDashboardFragment,com.android.settings.accounts.AccountDashboardFragment,Manage accounts,Auto sync personal data
-1148868083,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.fuelgauge.InactiveApps,Developer options,Standby apps
-1142751663,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Supplementary services,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Supplementary services,Supplementary services,Call forwarding
-1137395242,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,Messages settings,Block numbers and messages
-1134679618,com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Create note with Pen button
-1133521539,com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Show week numbers
-1133177911,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable freeform windows
-1129783722,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Ringtone
-1124055944,com.android.settings.datausage.DataUsageSummary,com.android.settings.datausage.DataUsageSummary,Data usage,Alert me about data usage
-1121865895,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Resume from suspend
-1112606099,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Real Time Text,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Real Time Text,Real Time Text,Use external TTY keyboard
-1106201614,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Alert when phone picked up
-1101527183,com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarSettings,Navigation bar,Button position
-1101121354,com.android.settings.accounts.AccountDashboardFragment,com.android.settings.accounts.AccountDashboardFragment,Manage accounts,Auto sync business data
-1100715563,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Dual Messenger
-1099655256,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,Wireless emergency alerts
-1095390536,com.android.settings.notification.zen.ZenModeSoundVibrationSettings,com.android.settings.notification.zen.ZenModeSoundVibrationSettings,Alarms and sounds,Alarms
-1092998668,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.applications.appops.BackgroundCheckSummary,Developer options,Background check
-1092416199,com.sec.android.app.soundalive.SAControlPanelActivity,com.sec.android.app.soundalive.SAControlPanelActivity,Sound quality and effects,Karaoke mode
-1089781515,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Enable node tree debugging
-1084698811,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,Voicemail
-1079904841,com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,Multimedia messages,Auto retrieve while roaming
-1077510564,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,New features in TalkBack
-1073284999,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Developer settings
-1072564023,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,Sound and vibration
-1071157771,com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,Chinese input options,Cloud input by Sogou
-1069750290,com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Lock when wrong face detected
-1065088216,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Mute with gestures
-1062550789,com.samsung.android.honeyboard.settings.swipetouchandfeedback.swipe.KeyboardSwipeSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.swipe.KeyboardSwipeSettings,Keyboard swipe controls,No swipe gestures
-1061246656,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.samsung.android.settings.development.performance.PerfTuneDashboard,Developer options,Performance Tune
-1061082987,com.samsung.android.settings.deviceinfo.BatteryInfoSettings,com.samsung.android.settings.deviceinfo.BatteryInfoSettings,Battery information,Battery capacity
-1058992643,com.android.settings.DisplaySettings,com.android.settings.DisplaySettings,Display,Night-time keyboard mode
-1056933887,com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,External storage transfer
-1056142096,com.samsung.android.settings.usefulfeature.FunctionKeySettings,com.samsung.android.settings.usefulfeature.FunctionKeySettings,Side key,Press and hold
-1055741944,com.samsung.android.settings.general.GeneralDeviceSettings,com.android.settings.inputmethod.SpellCheckersSettings,General management,Spell checker for work
-1047576135,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.BadgeAppIconSettings,Advanced settings,App icon badges
-1045831583,com.samsung.android.settings.datausage.trafficmanager.ui.DataSaverSummaryCHN,com.samsung.android.settings.datausage.trafficmanager.ui.DataSaverSummaryCHN,Restrict background data,Turn on now
-1044821885,com.android.settings.datetime.DateTimeSettings,com.android.settings.datetime.DateTimeSettings,Date and time,Automatic time zone
-1039551864,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Adaptive notification priority
-1035864974,com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,Back up data
-1031300392,com.android.settings.DisplaySettings,com.samsung.android.settings.display.ScreenResolutionFragment,Display,Screen resolution
-1030334193,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable freeform sizecompat
-1027992406,com.samsung.android.settings.security.OtherSecuritySettings,com.samsung.android.settings.security.OtherSecuritySettings,Other security settings,Security policy updates
-1027387229,com.android.launcher3.settings.MouseTrackpadPreferenceActivity,com.android.launcher3.settings.TouchPadGesturesActivity,Mouse/trackpad,Touchpad gestures
-1027377632,com.android.launcher3.settings.KeyboardPreferenceActivity,com.android.launcher3.settings.KeyboardPreferenceActivity,Keyboard,Show on-screen keyboard in Samsung DeX
-1024117257,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,System sound/vibration control,Screen lock/unlock
-1018739503,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Keep screen on while viewing
-1018582134,com.sec.android.app.soundalive.SAControlPanelActivity,com.sec.android.app.soundalive.SAControlPanelActivity,Sound quality and effects,Dolby Atmos for gaming
-1016694661,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.WirelessDebuggingFragment,Developer options,Wireless debugging
-1001832404,com.android.launcher3.settings.TouchPadGesturesActivity,com.android.launcher3.settings.TouchPadGesturesActivity,Touchpad gestures,Tap with 4 fingers
-990857889,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,Background usage limits,Put unused apps to sleep
-975680830,com.samsung.android.settings.general.GeneralDeviceSettings,com.samsung.android.settings.inputmethod.PhysicalKeyboardFragment,General management,Physical keyboard
-971388198,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,Block numbers and messages,Caller ID and spam protection
-971370813,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Privacy and security,Block automatic downloads
-969690023,com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,Languages and types,MoAKey settings
-966462701,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,Block numbers
-966415494,com.android.settings.notification.BubbleNotificationSettings,com.android.settings.notification.BubbleNotificationSettings,Bubbles, 
-964508724,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Always show crash dialog
-956991021,com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,Allow mobile data usage
-955432142,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Double tap to turn off screen
-952829635,com.android.settings.inputmethod.VirtualKeyboardFragment,com.android.settings.inputmethod.VirtualKeyboardFragment,Keyboard list and default,Show button to hide keyboard
-948015471,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,Power saving mode,Turn off Always On Display
-938467621,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Highlight buttons
-934688440,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,Messages settings,Block numbers and messages
-929894893,com.android.settings.notification.zen.ZenModePeopleSettings,com.android.settings.notification.zen.ZenModePeopleSettings,"Calls, messages, and conversations",Conversations
-921494490,com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Samsung DeX
-918974070,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Privacy policy
-915947151,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Vibration pattern
-915008116,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,Call background
-911742150,com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Privacy Policy
-908910132,com.samsung.android.settings.deviceinfo.status.SimStatus,com.samsung.android.settings.deviceinfo.status.SimStatus,SIM card status,Mobile data network type
-906662092,com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Face unlock
-904679175,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Demo mode
-900316157,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,Notifications,Notifications to show
-899886196,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.applications.ProcessStatsSummary,Developer options,Memory
-894159589,com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.security.BiometricsAndSecuritySettings,Biometrics and security,Samsung Blockchain Keystore
-887809910,com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Detect suspicious networks
-885822101,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Useful features,Quick suggest
-884436512,com.samsung.android.settings.connection.tether.SecTetherSettings,com.samsung.android.settings.connection.tether.SecTetherSettings,Mobile Hotspot and Tethering,Can’t tether or use portable hotspots while Data Saver is on
-877033385,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Mode
-872965489,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchandhold.spacebar.TouchAndHoldSpaceBarSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchandhold.spacebar.TouchAndHoldSpaceBarSettings,Keyboard touch and hold delay,Cursor control
-849775338,com.android.settings.privacy.PrivacyDashboardFragment,com.android.settings.privacy.PrivacyDashboardFragment,Privacy,Accessibility special access
-848659856,com.samsung.android.settings.general.GeneralDeviceSettings,com.android.settings.datetime.DateTimeSettings,General management,Date and time
-844583747,com.android.launcher3.settings.MouseTrackpadPreferenceActivity,com.android.launcher3.settings.MouseTrackpadPreferenceActivity,Mouse/trackpad,Show touchpad when DeX runs
-840744873,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,About Phone
-833117170,com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeSettings,Volume,Call waiting tone
-829112937,com.samsung.android.settings.security.OtherSecuritySettings,com.samsung.android.settings.security.OtherSecuritySettings,Other security settings,Clear credentials
-821820394,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Play tone when call connects
-820558051,com.samsung.android.settings.display.SecDarkModeSettingsFragment,com.samsung.android.settings.display.SecDarkModeSettingsFragment,Dark mode settings,End time
-808791404,com.samsung.android.honeyboard.settings.styleandlayout.layout.KeyboardLayoutSettings,com.samsung.android.honeyboard.settings.styleandlayout.layout.KeyboardLayoutSettings,Layout,Alternative characters
-804649886,com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.security.BiometricsAndSecuritySettings,Biometrics and security,Fingerprints
-798662595,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Theme
-793781962,com.samsung.android.settings.activekey.ActiveKeySettings,com.samsung.android.settings.activekey.ActiveKeyAppGridView,Active key,Press
-793522577,com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Tips for using your S Pen
-789525689,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,Fingerprints,Tap to show icon when screen off
-788564727,com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Alert style
-784961892,com.samsung.android.settings.development.performance.PerfTuneDashboard,com.samsung.android.settings.development.performance.PerfTuneDashboard,Performance Tune,CPU/GPU Performance Tune
-784289767,com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarGestureDetailedSettings,Navigation bar,Swipe gestures
-782541235,com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,About unlocking with biometrics
-779281727,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Notification vibration pattern
-775938964,com.android.settings.applications.specialaccess.SpecialAccessSettings,com.android.settings.applications.specialaccess.pictureinpicture.PictureInPictureSettings,Special access,Picture-in-picture
-770457431,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,Messages settings,About Messages
-769396831,com.android.settings.applications.assist.ManageAssist,com.android.settings.applications.assist.DefaultVoiceInputPicker,Device assistance app,Voice input
-764198707,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Japanese input options
-762017670,com.samsung.android.app.settings.SettingsActivity,com.samsung.android.app.settings.SettingsActivity,Screenshots and screen recorder,Sound
-757005391,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,Verbosity,Speak phonetic letters
-752499717,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Sound quality and effects
-747303783,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Internet settings,Search engine
-743593579,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,Open TalkBack in the Galaxy Store
-737406381,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Wireless display certification
-736435324,com.samsung.android.accessibility.talkback.preference.TalkBackHelpPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackHelpPreferencesActivity,Tutorial and help,Practice gestures
-735798773,com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeSettings,Volume,Media
-732994683,com.android.settings.applications.assist.ManageAssist,com.android.settings.applications.assist.ManageAssist,Device assistance app,Analyze on-screen text
-727409244,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,System sound/vibration control,Emergency tone
-724238155,com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODAboutSetting,Always On Display,About Always On Display
-715324080,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Animator duration scale
-712768097,com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODSettingsMain,Always On Display,Tap to show for 10 seconds
-705661548,com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,More typing options,Multilanguage text prediction
-703160858,com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,Biometrics and security,Fingerprints
-700802068,com.samsung.android.settings.accessories.DockSettings,com.samsung.android.settings.accessories.DockSettings,Accessories,User manual
-699209167,com.samsung.accessibility.advanced.UsefulSettings,com.samsung.accessibility.Activities$UsefulSettingsActivity,Advanced settings,Bixby Vision for accessibility
-698060903,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,Mouse and trackpad,Pointer speed
-688877274,com.samsung.android.honeyboard.settings.chineseinputoptions.FuzzyPinyinSettings,com.samsung.android.honeyboard.settings.chineseinputoptions.FuzzyPinyinSettings,Fuzzy pinyin input,eng = en
-685615237,com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Show pointer when hovering
-684014196,com.samsung.accessibility.assistantmenu.settings.AssistantMenuSettingsFragment,com.samsung.accessibility.assistantmenu.Activities$AssistantMenuSettingsActivity,Assistant menu,Select apps to show contextual menus with
-681665677,com.samsung.android.settings.accessories.DockSettings,com.samsung.android.settings.accessories.DockSettings,Accessories,LED Cover
-679587434,com.samsung.android.sm.battery.ui.BatteryActivity,com.samsung.android.sm.powershare.PowerShareDetailActivity,Battery,Wireless power sharing
-661394974,com.samsung.android.settings.general.GeneralDeviceSettings,com.android.settings.inputmethod.VirtualKeyboardFragment,General management,Virtual keyboard for work
-659972918,com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Add account
-659414609,com.android.settings.LegalSettings,com.android.settings.LegalSettings,Legal information,Samsung legal document versions
-658354214,com.samsung.android.settings.security.OtherSecuritySettings,com.samsung.android.settings.security.DeviceIdSettings,Other security settings,Device ID
-652564032,com.samsung.android.app.cocktailbarservice.cocktailsettings.EdgeScreenSettingsMain,com.samsung.android.app.cocktailbarservice.cocktailsettings.HandleSettings,Handle,Size
-647625774,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Simulate secondary displays
-646611184,com.android.settings.applications.assist.ManageAssist,com.android.settings.applications.assist.ManageAssist,Device assistance app,Vibration
-643444557,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,Other call settings,Swipe to call or text
-641209542,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseAdditionalFirstButtonFragment,Mouse and trackpad,Additional button 1
-636559794,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Work profile
-636233784,com.samsung.accessibility.advanced.flashnotification.FlashNotificationPreferenceFragment,com.samsung.accessibility.Activities$FlashNotificationActivity,Flash notification,Camera flash notification
-633044196,com.samsung.android.settings.DomesticSettings,com.samsung.android.settings.DomesticSettings,Service provider,KT 플레이 게임
-625807851,com.samsung.android.sm.battery.ui.BatteryAdvancedMenuActivity,com.samsung.android.sm.battery.ui.BatteryAdvancedMenuActivity,More battery settings,Fast charging
-619718176,com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,Languages and types,Manage input languages
-617965260,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,More settings,Multimedia messages
-616482715,com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Show completed reminders
-614934428,com.samsung.android.app.calendar.activity.ReminderSettingsActivity,com.samsung.android.app.calendar.activity.ReminderSettingsActivity,Alert settings,Contacts' birthdays
-611016015,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,Messages settings,More settings
-610610265,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseSecondaryButtonFragment,Mouse and trackpad,Secondary button
-610007743,com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODSettingsMain,Always On Display,Show always
-608610383,com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,My Profile
-607356108,com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,Manufacturer
-603483678,com.android.launcher3.settings.DesktopSettingsActivity,com.android.launcher3.settings.KeyboardPreferenceActivity,Samsung DeX,Keyboard
-602919485,com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Alert settings
-601338119,com.samsung.android.samsungaccount.setting.ui.SettingSecurityPreference,com.samsung.android.samsungaccount.setting.ui.SettingSecurityPreference,Security settings,Password
-601231546,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Vibrate while ringing
-595953769,com.samsung.android.honeyboard.settings.directwriting.DirectWritingSettings,com.samsung.android.honeyboard.settings.directwriting.DirectWritingSettings,S Pen to text,Show writing toolbar
-595812738,com.samsung.android.honeyboard.settings.smarttyping.sticker.StickerSuggestionMethodSettings,com.samsung.android.honeyboard.settings.smarttyping.sticker.StickerSuggestionMethodSettings,Sticker suggestion method,Show in predictive text area
-595316642,com.samsung.accessibility.advanced.UsefulSettings,com.samsung.accessibility.Activities$UsefulSettingsActivity,Advanced settings,Accessibility button
-595009385,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,com.samsung.accessibility.Activities$AccessibilitySettingsHearingActivity,Hearing enhancements,Left/right sound balance
-594228186,com.android.settings.deviceinfo.aboutphone.MyDeviceInfoFragment,com.android.settings.LegalSettings,About phone,Legal information
